"Date","Sales"
"2000-1-01",266.0
"2000-2-01",145.9
"2000-3-01",183.1
"2000-4-01",119.3
"2000-5-01",180.3
"2000-6-01",168.5
"2000-7-01",231.8
"2000-8-01",224.5
"2000-9-01",192.8
"2000-10-01",122.9
"2000-11-01",336.5
"2000-12-01",185.9
"2001-1-01",194.3
"2001-2-01",149.5
"2001-3-01",210.1
"2001-4-01",273.3
"2001-5-01",191.4
"2001-6-01",287.0
"2001-7-01",226.0
"2001-8-01",303.6
"2001-9-01",289.9
"2001-10-01",421.6
"2001-11-01",264.5
"2001-12-01",342.3
"2002-1-01",339.7
"2002-2-01",440.4
"2002-3-01",315.9
"2002-4-01",439.3
"2002-5-01",401.3
"2002-6-01",437.4
"2002-7-01",575.5
"2002-8-01",407.6
"2002-9-01",682.0
"2002-10-01",475.3
"2002-11-01",581.3
"2002-12-01",646.9
